population,lon,lat,elevation,tower_height,coverage_km,path_loss,tx_power,cluster,x,y
555.148362159729,-8.50493377376883,51.853000687394506,152.0,37.6,2.752,153.04581782004348,-23.04581782004348,4,,
3152.5110778808594,-8.949599839407993,51.91062778511386,100.0,35.0,2.7,153.27731576093856,-23.277315760938563,4,,
666.8676662445068,-8.525145867661518,51.95379964035875,89.0,34.45,2.689,153.33006189937663,-23.33006189937663,4,,
1113.9023895263672,-8.363449116520007,51.80973187615474,9.0,30.45,2.609,153.76018757611467,-23.760187576114674,4,,
4901.945495605469,-8.727266806588407,51.75197544821728,72.0,33.6,2.672,153.41440440856596,-23.414404408565957,4,,
1241.2984580993652,-8.221964459271181,51.8241594322677,58.0,32.9,2.658,153.48656293581476,-23.48656293581476,4,,
516.3647451400757,-8.76769099437379,51.723069504295424,63.0,33.15,2.6630000000000003,153.46050380530434,-23.46050380530434,4,,
978.3829021453857,-8.545357961554208,51.70860959788775,47.0,32.35,2.6470000000000002,153.54505299640587,-23.54505299640587,4,,
3083.3428840637207,-9.25278124779833,51.54924534078638,55.0,32.75,2.6550000000000002,153.50235513744352,-23.502355137443516,4,,
587.4076652526855,-8.68684261880303,51.63624069911901,35.0,31.75,2.635,153.6107393687524,-23.610739368752405,4,,
3320.370168685913,-8.605994243232274,51.896227935830815,53.0,32.65,2.653,153.51294932558613,-23.512949325586135,4,,
756.8071985244751,-8.242176553163869,51.9250230185819,70.0,33.5,2.67,153.42456026248456,-23.42456026248456,4,,
783.8858299255371,-8.363449116520007,51.9250230185819,93.0,34.65,2.693,153.31071909352238,-23.31071909352238,4,,
999.6903839111328,-8.646418431017656,51.80973187615474,89.0,34.45,2.689,153.33006189937663,-23.33006189937663,4,,
1203.3446741104124,-9.293205435583708,51.54924534078638,17.0,30.85,2.617,153.71312700306015,-23.71312700306015,4,,
710.7258186340332,-8.605994243232274,51.86741438753988,52.0,32.6,2.652,153.51826637296963,-23.518266372969634,4,,
1005.5592231750488,-8.565570055446898,51.80973187615474,141.0,37.05,2.741,153.09246420778226,-23.092464207782257,4,,
1952.1949605941772,-8.646418431017656,51.86741438753988,48.0,32.4,2.648,153.53966866443756,-23.539668664437556,4,,
715.1186246871948,-8.76769099437379,51.75197544821728,119.0,35.95,2.7190000000000003,153.189423090354,-23.189423090354012,4,,
1104.9465522766113,-8.323024928734625,51.9250230185819,141.0,37.05,2.741,153.09246420778226,-23.092464207782257,4,,
601.1665048599243,-9.131508684442196,51.723069504295424,109.0,35.45,2.709,153.23518579197608,-23.23518579197608,4,,
826.6179866790771,-9.555962656188669,51.53472991338745,85.0,34.25,2.685,153.34959337519567,-23.349593375195667,4,,
665.422082901001,-8.545357961554208,51.853000687394506,121.0,36.05,2.721,153.1804000247553,-23.1804000247553,4,,
1029.5903644561768,-8.58578214933959,51.93941363680615,99.0,34.95,2.699,153.28205324621365,-23.28205324621365,4,,
1623.085244178772,-9.576174750081355,51.896227935830815,85.0,34.25,2.685,153.34959337519567,-23.349593375195667,4,,
665.9326667785645,-8.363449116520007,51.83858236915921,42.0,32.1,2.642,153.57217957807012,-23.57217957807012,4,,
989.1478652954102,-8.565570055446898,51.86741438753988,85.0,34.25,2.685,153.34959337519567,-23.349593375195667,4,,
950.9156894683838,-8.464509585983452,51.93941363680615,78.0,33.9,2.678,153.38423504128852,-23.38423504128852,4,,
611.9167137145996,-8.50493377376883,51.93941363680615,99.0,34.95,2.699,153.28205324621365,-23.28205324621365,4,,
501.9128556251526,-9.111296590549506,51.73752478755251,72.0,33.6,2.672,153.41440440856596,-23.414404408565957,4,,
1324.1152267456055,-8.464509585983452,51.853000687394506,154.0,37.7,2.754,153.03746325216358,-23.037463252163576,4,,
