lat,lon,population,elevation,snr_proxy,tower_height,tx_power_dbm,env,cluster,band,cov_radius_km
51.934345683395655,-9.148175351042193,591.0009574890137,115.0,0.6,30.75,23.0,rural,-1,700MHz,0.0
52.08757591692878,-8.231893761240281,590.6906356811523,42.0,0.4,27.1,22.0,rural,-1,700MHz,0.0
52.07801439701498,-9.511993041110598,589.8250274658203,70.0,0.6,28.5,23.0,rural,-1,700MHz,0.0
52.1544492131396,-8.272317949025663,586.1194534301758,48.0,0.4,27.4,22.0,rural,-1,700MHz,0.0
52.11624818745999,-8.784357660973788,562.2432174682617,65.0,0.6,28.25,23.0,rural,-1,700MHz,0.0
52.04931754564751,-8.31274213681104,558.9088306427002,95.0,0.6,29.75,23.0,rural,-1,700MHz,0.0
52.11624818745999,-9.511993041110598,558.5459671020508,94.0,0.6,29.7,23.0,rural,-1,700MHz,0.0
51.9151549995277,-8.31274213681104,557.3501625061035,50.0,0.6,27.5,23.0,rural,-1,700MHz,0.0
52.10669281197843,-9.47156885332522,542.5205078125,147.0,0.6,32.35,23.0,rural,-1,700MHz,0.0
51.83831019481097,-8.231893761240281,537.7161254882812,-3.0,0.4,24.85,22.0,rural,-1,700MHz,0.0
52.06845082861171,-9.579366687419565,530.2894134521484,28.0,0.4,26.4,22.0,rural,-1,700MHz,0.0
52.097135388525686,-8.97300387063889,525.4959754943848,93.0,0.6,29.65,23.0,rural,-1,700MHz,0.0
51.934345683395655,-8.447489429428968,524.6844673156738,94.0,0.6,29.7,23.0,rural,-1,700MHz,0.0
51.953528163044595,-8.447489429428968,514.3649559020996,139.0,0.6,31.95,23.0,rural,-1,700MHz,0.0
52.13535279520219,-9.700639250775703,509.74412918090815,60.0,0.6,28.0,23.0,rural,-1,700MHz,0.0
52.18307848720411,-8.366641053858212,503.39330673217773,48.0,0.4,27.4,22.0,rural,-1,700MHz,0.0
52.04931754564753,-9.444619394801634,501.03104400634766,92.0,0.6,29.6,23.0,rural,-1,700MHz,0.0
51.905556580588,-8.514863075737932,7492.082962036133,121.0,0.6,31.05,23.0,rural,-1,3.5GHz,2.971478885896243
