lat,lon,population,elevation,snr,tower_height,tx_power_dbm,coverage_km,type,cluster
52.267921959757885,-9.828649178762735,1417.1817150115967,,0.4,,22.0,2.07,Urban,-1
51.93340479991839,-8.750670837819305,1390.7969665527344,103.0,0.6,30.15,23.0,2.818222726345698,Urban,-1
52.100976990527336,-9.525467770372392,1379.1424980163574,79.0,0.6,28.95,23.0,2.803935340131399,Rural,-1
52.02923719395263,-9.491780947217915,1374.4474608674645,26.0,0.4,26.3,22.0,2.3597694664579327,Rural,-1
52.148739514761985,-8.514863075737932,1358.6831760406494,49.0,0.4,27.45,22.0,2.372594220662416,Rural,-1
52.339278028407364,-8.919104953591718,1355.7810859680176,,0.4,,22.0,2.07,Rural,-1
52.1248646515249,-9.6939018861448,1353.4307498931885,39.0,0.4,26.95,22.0,2.3670855509707023,Rural,-1
52.339278028407364,-8.784357660973788,1334.6156816482544,,0.4,,22.0,2.07,Rural,-1
51.909414660062176,-8.716984014664826,1306.6142053604126,87.0,0.6,29.35,23.0,2.808762565522743,Rural,-1
51.88541169836447,-8.683297191510343,1299.6445579528809,100.0,0.6,30.0,23.0,2.816468216322927,Rural,-1
52.172601582951685,-8.346428959965522,1298.1688055992126,57.0,0.6,27.85,23.0,2.7903084116028958,Rural,-1
51.93340479991839,-8.076934374729666,1291.355718612671,20.0,0.4,26.0,22.0,2.3563316100998644,Rural,-1
52.29172009366629,-9.794962355608249,1270.9581928253174,,0.4,,22.0,2.07,Rural,-1
52.077076529063646,-9.626528239835839,1220.2259769439695,31.0,0.4,26.55,22.0,2.3626045225380663,Rural,-1
52.077076529063646,-8.211681667347593,1197.9279069900513,32.0,0.4,26.6,22.0,2.363168329275436,Rural,-1
52.05316326443564,-9.3233468314455,1195.8227615356445,133.0,0.6,31.65,23.0,2.8353027086262332,Rural,-1
52.124864651524895,-8.885418130437236,1186.3191347122192,79.0,0.6,28.95,23.0,2.803935340131399,Rural,-1
52.315505448961204,-8.683297191510343,1173.498962879181,,0.4,,22.0,2.07,Rural,-1
52.220287345078376,-9.020165423055161,1172.858051776886,,0.4,,22.0,2.07,Rural,-1
52.315505448961204,-9.6939018861448,1162.3052234649658,,0.4,,22.0,2.07,Rural,-1
51.909414660062176,-8.784357660973788,1158.474163532257,73.0,0.6,28.65,23.0,2.800270947305761,Rural,-1
52.36303783477683,-8.346428959965522,1148.8369150161743,,0.4,,22.0,2.07,Rural,-1
52.172601582951685,-8.481176252583449,1148.3803477287292,71.0,0.6,28.55,23.0,2.7990409511913126,Rural,-1
51.98134662469609,-8.750670837819305,1131.0133695602417,187.0,0.8,34.35,24.0,3.288411869497879,Rural,-1
51.95738212057867,-8.514863075737932,1128.3462104797363,134.0,0.6,31.7,23.0,2.8358580023963786,Rural,-1
52.05316326443564,-8.110621197884146,1126.9949254989624,87.0,0.6,29.35,23.0,2.808762565522743,Rural,-1
52.148739514761985,-8.312742136811039,1103.158992767334,70.0,0.6,28.5,23.0,2.7984243366068933,Rural,-1
52.100976990527336,-8.716984014664826,1094.8360013961792,99.0,0.6,29.95,23.0,2.8158814296475176,Rural,-1
